Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,373.8599853515625,375.8999938964844,366.7699890136719,370.8699951171875,363.801513671875,25258600
2024-01-03,369.010009765625,373.260009765625,368.510009765625,370.6000061035156,363.53668212890625,23083500
2024-01-04,370.6700134277344,373.1000061035156,367.1700134277344,367.94000244140625,360.9273681640625,20901500
2024-01-05,368.9700012207031,372.05999755859375,366.5,367.75,360.7409973144531,21004600
2024-01-08,369.29998779296875,375.20001220703125,369.010009765625,374.69000244140625,367.5487060546875,23134000
2024-01-09,372.010009765625,375.989990234375,371.19000244140625,375.7900085449219,368.62774658203125,20830000
2024-01-10,376.3699951171875,384.1700134277344,376.32000732421875,382.7699890136719,375.4747009277344,25514200
2024-01-11,386.0,390.67999267578125,380.3800048828125,384.6300048828125,377.2992858886719,27850800
2024-01-12,385.489990234375,388.67999267578125,384.6499938964844,388.4700012207031,381.0660705566406,21661200
2024-01-16,393.6600036621094,394.0299987792969,387.6199951171875,390.2699890136719,382.8317565917969,27202300
2024-01-17,387.9800109863281,390.1099853515625,384.80999755859375,389.4700012207031,382.0469970703125,22234100
2024-01-18,391.7200012207031,393.989990234375,390.1199951171875,393.8699951171875,386.36309814453125,23392100
2024-01-19,395.760009765625,398.6700134277344,393.5,398.6700134277344,391.07171630859375,29331100
2024-01-22,400.0199890136719,400.6199951171875,393.5899963378906,396.510009765625,388.95281982421875,27016900
2024-01-23,395.75,399.3800048828125,393.92999267578125,398.8999938964844,391.2972717285156,20525900
2024-01-24,401.5400085449219,405.6300048828125,400.45001220703125,402.55999755859375,394.8875427246094,24867000
2024-01-25,404.32000732421875,407.010009765625,402.5299987792969,404.8699951171875,397.15350341796875,21021200
2024-01-26,404.3699951171875,406.1700134277344,402.42999267578125,403.92999267578125,396.2314147949219,17803300
2024-01-29,406.05999755859375,409.9800109863281,404.3299865722656,409.7200012207031,401.91107177734375,24510200
2024-01-30,412.260009765625,413.04998779296875,406.45001220703125,408.5899963378906,400.8025817871094,33477600
2024-01-31,406.9599914550781,415.32000732421875,397.2099914550781,397.5799865722656,390.00244140625,47871100
2024-02-01,401.8299865722656,408.0,401.79998779296875,403.7799987792969,396.084228515625,30657700
2024-02-02,403.80999755859375,412.6499938964844,403.55999755859375,411.2200012207031,403.3824462890625,28256700
2024-02-05,409.8999938964844,411.1600036621094,403.989990234375,405.6499938964844,397.91864013671875,25352300
2024-02-06,405.8800048828125,407.9700012207031,402.9100036621094,405.489990234375,397.76171875,18382600
2024-02-07,407.44000244140625,414.29998779296875,407.3999938964844,414.04998779296875,406.1585388183594,22340500
2024-02-08,414.04998779296875,415.55999755859375,412.5299987792969,414.1099853515625,406.2173767089844,21225300
2024-02-09,415.25,420.82000732421875,415.0899963378906,420.54998779296875,412.5346374511719,22032800
2024-02-12,420.55999755859375,420.739990234375,414.75,415.260009765625,407.345458984375,21202900
2024-02-13,404.94000244140625,410.07000732421875,403.3900146484375,406.32000732421875,398.5758972167969,27824900
2024-02-14,408.07000732421875,409.8399963378906,404.57000732421875,409.489990234375,402.4282531738281,20401200
2024-02-15,408.1400146484375,409.1300048828125,404.2900085449219,406.55999755859375,399.5487976074219,21825500
2024-02-16,407.9599914550781,408.2900085449219,403.44000244140625,404.05999755859375,397.0919189453125,22296500
2024-02-20,403.239990234375,404.489990234375,398.010009765625,402.7900085449219,395.84381103515625,24307900
2024-02-21,400.1700134277344,402.2900085449219,397.2200012207031,402.17999267578125,395.2442932128906,18518900
2024-02-22,410.19000244140625,412.8299865722656,408.57000732421875,411.6499938964844,404.55096435546875,27009900
2024-02-23,415.6700134277344,415.8599853515625,408.9700012207031,410.3399963378906,403.2635803222656,16295900
2024-02-26,411.4599914550781,412.1600036621094,407.3599853515625,407.5400085449219,400.5118713378906,16193500
2024-02-27,407.989990234375,408.32000732421875,403.8500061035156,407.4800109863281,400.4529113769531,14835800
2024-02-28,408.17999267578125,409.29998779296875,405.32000732421875,407.7200012207031,400.6887512207031,13183100
2024-02-29,408.6400146484375,414.20001220703125,405.9200134277344,413.6400146484375,406.5067443847656,31947300
2024-03-01,411.2699890136719,415.8699951171875,410.8800048828125,415.5,408.3345947265625,17823400
2024-03-04,413.44000244140625,417.3500061035156,412.32000732421875,414.9200134277344,407.7646179199219,17596000
2024-03-05,413.9599914550781,414.25,400.6400146484375,402.6499938964844,395.7062072753906,26919200
2024-03-06,402.9700012207031,405.1600036621094,398.3900146484375,402.0899963378906,395.1558837890625,22344100
2024-03-07,406.1199951171875,409.7799987792969,402.239990234375,409.1400146484375,402.08428955078125,18718500
2024-03-08,407.9599914550781,410.4200134277344,404.3299865722656,406.2200012207031,399.21466064453125,18002200
2024-03-11,403.760009765625,405.67999267578125,401.260009765625,404.5199890136719,397.5439758300781,16120800
2024-03-12,407.6199951171875,415.57000732421875,406.7900085449219,415.2799987792969,408.11846923828125,22457000
2024-03-13,418.1000061035156,418.17999267578125,411.45001220703125,415.1000061035156,407.9414978027344,17115900
2024-03-14,420.239990234375,427.82000732421875,417.989990234375,425.2200012207031,417.886962890625,34157300
2024-03-15,419.2900085449219,422.6000061035156,412.7900085449219,416.4200134277344,409.23870849609375,45079900
2024-03-18,414.25,420.7300109863281,413.7799987792969,417.32000732421875,410.12322998046875,20106000
2024-03-19,417.8299865722656,421.6700134277344,415.54998779296875,421.4100036621094,414.14263916015625,19837900
2024-03-20,422.0,425.9599914550781,420.6600036621094,425.2300109863281,417.8968811035156,17860100
2024-03-21,429.8299865722656,430.82000732421875,427.1600036621094,429.3699951171875,421.9654235839844,21296200
2024-03-22,429.70001220703125,429.8599853515625,426.07000732421875,428.739990234375,421.34625244140625,17648500
2024-03-25,425.239990234375,427.4100036621094,421.6099853515625,422.8599853515625,415.56768798828125,18060500
2024-03-26,425.6099853515625,425.989990234375,421.3500061035156,421.6499938964844,414.3785400390625,16725600
2024-03-27,424.44000244140625,424.45001220703125,419.010009765625,421.42999267578125,414.162353515625,16705000
2024-03-28,420.9599914550781,421.8699951171875,419.1199951171875,420.7200012207031,413.4645690917969,21871200
2024-04-01,423.95001220703125,427.8900146484375,422.2200012207031,424.57000732421875,417.24822998046875,16316000
2024-04-02,420.1099853515625,422.3800048828125,417.8399963378906,421.44000244140625,414.17218017578125,17912000
2024-04-03,419.7300109863281,423.260009765625,419.0899963378906,420.45001220703125,413.1992492675781,16502300
2024-04-04,424.989990234375,428.6700134277344,417.57000732421875,417.8800048828125,410.673583984375,19370900
2024-04-05,420.010009765625,426.510009765625,418.32000732421875,425.5199890136719,418.1817932128906,16554800
2024-04-08,425.1700134277344,427.2799987792969,423.29998779296875,424.5899963378906,417.2678527832031,14272400
2024-04-09,426.44000244140625,427.739990234375,421.6199951171875,426.2799987792969,418.9287109375,12496900
2024-04-10,422.19000244140625,424.0299987792969,419.70001220703125,423.260009765625,415.9607849121094,16216600
2024-04-11,425.82000732421875,429.3699951171875,422.3599853515625,427.92999267578125,420.55023193359375,17966400
2024-04-12,424.04998779296875,425.17999267578125,419.7699890136719,421.8999938964844,414.6242370605469,19253800
2024-04-15,426.6000061035156,426.82000732421875,413.42999267578125,413.6400146484375,406.5067443847656,20273500
2024-04-16,414.57000732421875,418.3999938964844,413.7300109863281,414.5799865722656,407.43048095703125,16765600
2024-04-17,417.25,418.8800048828125,410.3299865722656,411.8399963378906,404.73773193359375,15855500
2024-04-18,410.6300048828125,411.8900146484375,403.95001220703125,404.2699890136719,397.2982482910156,21029900
2024-04-19,404.0299987792969,405.4800109863281,397.7699890136719,399.1199951171875,392.23712158203125,30565800
2024-04-22,400.0799865722656,402.8500061035156,395.75,400.9599914550781,394.04534912109375,20286900
2024-04-23,404.239990234375,408.20001220703125,403.05999755859375,407.57000732421875,400.5414123535156,15734500
2024-04-24,409.55999755859375,412.4700012207031,406.7799987792969,409.05999755859375,402.0056457519531,15065300
2024-04-25,394.0299987792969,399.8900146484375,388.0299987792969,399.0400085449219,392.1584777832031,40586500
2024-04-26,412.1700134277344,413.0,405.760009765625,406.32000732421875,399.3129577636719,29694700
2024-04-29,405.25,406.32000732421875,399.19000244140625,402.25,395.3131103515625,19582100
2024-04-30,401.489990234375,402.1600036621094,389.1700134277344,389.3299865722656,382.61590576171875,28781400
2024-05-01,392.6099853515625,401.7200012207031,390.30999755859375,394.94000244140625,388.129150390625,23562500
2024-05-02,397.6600036621094,399.92999267578125,394.6499938964844,397.8399963378906,390.9791564941406,17709400
2024-05-03,402.2799987792969,407.1499938964844,401.8599853515625,406.6600036621094,399.6470947265625,17446700
2024-05-06,408.760009765625,413.92999267578125,406.3699951171875,413.5400085449219,406.4084167480469,16996600
2024-05-07,414.6600036621094,414.6700134277344,409.0899963378906,409.3399963378906,402.2808532714844,20018200
2024-05-08,408.1700134277344,412.2300109863281,406.7099914550781,410.5400085449219,403.46014404296875,11792300
2024-05-09,410.57000732421875,412.7200012207031,409.1000061035156,412.32000732421875,405.20947265625,14689700
2024-05-10,412.94000244140625,415.3800048828125,411.79998779296875,414.739990234375,407.58770751953125,13402300
2024-05-13,418.010009765625,418.3500061035156,410.82000732421875,413.7200012207031,406.5852966308594,15440200
2024-05-14,412.0199890136719,417.489990234375,411.54998779296875,416.55999755859375,409.3763122558594,15109300
2024-05-15,417.8999938964844,423.80999755859375,417.2699890136719,423.0799865722656,416.5338134765625,22239500
2024-05-16,421.79998779296875,425.4200134277344,420.3500061035156,420.989990234375,414.47613525390625,17530100
2024-05-17,422.5400085449219,422.9200134277344,418.0299987792969,420.2099914550781,413.7082824707031,15352200
2024-05-20,420.2099914550781,426.7699890136719,419.989990234375,425.3399963378906,418.7589111328125,16272100
2024-05-21,426.8299865722656,432.9700012207031,424.8500061035156,429.0400085449219,422.40167236328125,21453300
2024-05-22,430.0899963378906,432.4100036621094,427.1300048828125,430.5199890136719,423.8587341308594,18073700
